Timestamp,Frequency (MHz),Classification,Bandwidth (MHz),Noise Floor (dB)
2026-06-17 12:27:50,0.0,SYNTHETIC_AM,0.0,26.53
2026-06-17 12:27:58,0.0,SYNTHETIC_AM,0.0028,33.04
2026-06-17 12:28:05,0.0,SYNTHETIC_DIGITAL,0.0686,23.51
2026-06-17 12:28:37,99.5,DIGITAL,0.0741,-9.32
2026-06-17 12:28:40,97.8,FM,0.1203,-10.1
2026-06-17 12:28:42,0.0,SYNTHETIC_AM,0.001,29.67
2026-06-17 12:28:45,0.0,SYNTHETIC_AM,0.0,26.5
2026-06-17 12:28:49,0.0,SYNTHETIC_AM,0.0038,33.04
2026-06-17 12:28:53,0.0,SYNTHETIC_DIGITAL,0.0695,23.52
2026-06-18 16:39:19,99.5,FM,0.1484,-10.47
2026-06-18 16:39:23,97.8,FM,0.1513,-10.0
2026-06-18 16:39:26,0.0,SYNTHETIC_AM,0.001,29.68
2026-06-18 16:39:29,0.0,SYNTHETIC_AM,0.0,26.6
2026-06-18 16:39:33,0.0,SYNTHETIC_AM,0.0037,33.11
2026-06-18 16:39:38,0.0,SYNTHETIC_FM,0.0871,23.49
2026-06-18 16:40:13,99.5,DIGITAL,0.0515,-10.48
2026-06-18 16:40:27,97.8,FM,0.1508,-10.07
2026-06-18 16:40:44,0.0,SYNTHETIC_AM,0.001,29.7
2026-06-18 16:41:06,0.0,SYNTHETIC_AM,0.0,26.5
2026-06-18 16:41:22,0.0,SYNTHETIC_AM,0.0026,33.05
2026-06-18 16:41:50,0.0,SYNTHETIC_DIGITAL,0.0697,23.49
