Frequency (MHz),Power (dB),Timestamp
92.7941,-7.07,2026-06-11 18:45:06
92.7943,-1.27,2026-06-11 18:45:06
92.7944,1.12,2026-06-11 18:45:06
92.7946,-10.88,2026-06-11 18:45:06
92.7947,1.08,2026-06-11 18:45:06
92.7949,-4.82,2026-06-11 18:45:06
92.795,1.22,2026-06-11 18:45:06
92.7952,0.65,2026-06-11 18:45:06
92.7953,0.67,2026-06-11 18:45:06
92.7955,3.32,2026-06-11 18:45:06
92.7956,-4.15,2026-06-11 18:45:06
92.7958,-3.52,2026-06-11 18:45:06
92.7959,0.63,2026-06-11 18:45:06
92.7961,-5.18,2026-06-11 18:45:06
92.7962,-3.33,2026-06-11 18:45:06
92.7964,5.4,2026-06-11 18:45:06
92.7965,-11.29,2026-06-11 18:45:06
92.7967,-6.13,2026-06-11 18:45:06
92.7968,4.15,2026-06-11 18:45:06
92.797,-4.14,2026-06-11 18:45:06
92.7972,-1.23,2026-06-11 18:45:06
92.7973,-2.51,2026-06-11 18:45:06
92.7975,-0.55,2026-06-11 18:45:06
92.7976,3.62,2026-06-11 18:45:06
92.7978,-2.75,2026-06-11 18:45:06
92.7979,-5.56,2026-06-11 18:45:06
92.7981,-1.77,2026-06-11 18:45:06
92.7982,3.94,2026-06-11 18:45:06
92.7984,2.57,2026-06-11 18:45:06
92.7985,0.15,2026-06-11 18:45:06
92.7987,-0.68,2026-06-11 18:45:06
92.7988,0.31,2026-06-11 18:45:06
92.799,-6.15,2026-06-11 18:45:06
92.7991,-3.62,2026-06-11 18:45:06
92.7993,-17.52,2026-06-11 18:45:06
92.7994,-6.18,2026-06-11 18:45:06
92.7996,0.28,2026-06-11 18:45:06
92.7997,0.76,2026-06-11 18:45:06
92.7999,2.65,2026-06-11 18:45:06
92.8,-17.09,2026-06-11 18:45:06
92.8002,-6.09,2026-06-11 18:45:06
92.8004,1.91,2026-06-11 18:45:06
92.8005,3.59,2026-06-11 18:45:06
92.8007,-8.71,2026-06-11 18:45:06
92.8008,-1.96,2026-06-11 18:45:06
92.801,-3.06,2026-06-11 18:45:06
92.8011,-1.78,2026-06-11 18:45:06
92.8013,-19.44,2026-06-11 18:45:06
92.8014,1.35,2026-06-11 18:45:06
92.8016,-1.6,2026-06-11 18:45:06
92.8017,1.33,2026-06-11 18:45:06
92.8019,-5.86,2026-06-11 18:45:06
92.802,-4.43,2026-06-11 18:45:06
92.8022,-1.54,2026-06-11 18:45:06
92.8023,-3.2,2026-06-11 18:45:06
92.8025,2.58,2026-06-11 18:45:06
92.8026,0.03,2026-06-11 18:45:06
92.8028,1.48,2026-06-11 18:45:06
92.8029,-7.97,2026-06-11 18:45:06
92.8031,0.6,2026-06-11 18:45:06
92.8033,0.36,2026-06-11 18:45:06
92.8034,-4.39,2026-06-11 18:45:06
92.8036,-1.2,2026-06-11 18:45:06
92.8037,0.87,2026-06-11 18:45:06
92.8039,2.04,2026-06-11 18:45:06
92.804,-0.7,2026-06-11 18:45:06
92.8042,-5.61,2026-06-11 18:45:06
92.8043,-1.66,2026-06-11 18:45:06
92.8045,-1.28,2026-06-11 18:45:06
92.8046,-9.82,2026-06-11 18:45:06
92.8048,-4.82,2026-06-11 18:45:06
92.8049,0.49,2026-06-11 18:45:06
92.8051,-2.47,2026-06-11 18:45:06
92.8052,1.55,2026-06-11 18:45:06
92.8054,2.28,2026-06-11 18:45:06
92.8055,-0.41,2026-06-11 18:45:06
92.8057,-25.07,2026-06-11 18:45:06
92.8058,0.88,2026-06-11 18:45:06
92.806,-1.2,2026-06-11 18:45:06
92.8062,2.83,2026-06-11 18:45:06
92.8063,-9.15,2026-06-11 18:45:06
92.8065,-2.82,2026-06-11 18:45:06
92.8066,-10.7,2026-06-11 18:45:06
92.8068,-11.42,2026-06-11 18:45:06
92.8069,-8.94,2026-06-11 18:45:06
92.8071,-10.29,2026-06-11 18:45:06
92.8072,1.08,2026-06-11 18:45:06
92.8074,-7.41,2026-06-11 18:45:06
92.8075,7.01,2026-06-11 18:45:06
92.8077,-3.27,2026-06-11 18:45:06
92.8078,-12.47,2026-06-11 18:45:06
92.808,4.14,2026-06-11 18:45:06
92.8081,-0.93,2026-06-11 18:45:06
92.8083,4.2,2026-06-11 18:45:06
92.8084,5.27,2026-06-11 18:45:06
92.8086,-10.93,2026-06-11 18:45:06
92.8087,-5.57,2026-06-11 18:45:06
92.8089,1.96,2026-06-11 18:45:06
92.8091,-0.72,2026-06-11 18:45:06
92.8092,-1.77,2026-06-11 18:45:06
92.8094,-1.22,2026-06-11 18:45:06
92.8095,4.19,2026-06-11 18:45:06
92.8097,-8.97,2026-06-11 18:45:06
92.8098,-5.11,2026-06-11 18:45:06
92.81,3.7,2026-06-11 18:45:06
92.8101,-1.36,2026-06-11 18:45:06
92.8103,-6.77,2026-06-11 18:45:06
92.8104,-2.31,2026-06-11 18:45:06
92.8106,2.04,2026-06-11 18:45:06
92.8107,5.29,2026-06-11 18:45:06
92.8109,-1.65,2026-06-11 18:45:06
92.811,-3.36,2026-06-11 18:45:06
92.8112,-17.28,2026-06-11 18:45:06
92.8113,2.06,2026-06-11 18:45:06
92.8115,1.08,2026-06-11 18:45:06
92.8116,5.15,2026-06-11 18:45:06
92.8118,-14.82,2026-06-11 18:45:06
92.812,-3.32,2026-06-11 18:45:06
92.8121,-27.76,2026-06-11 18:45:06
92.8123,-0.65,2026-06-11 18:45:06
92.8124,-0.13,2026-06-11 18:45:06
92.8126,0.76,2026-06-11 18:45:06
92.8127,3.53,2026-06-11 18:45:06
92.8129,-1.83,2026-06-11 18:45:06
92.813,-3.99,2026-06-11 18:45:06
92.8132,0.94,2026-06-11 18:45:06
92.8133,-3.36,2026-06-11 18:45:06
92.8135,-3.7,2026-06-11 18:45:06
92.8136,2.28,2026-06-11 18:45:06
92.8138,-2.82,2026-06-11 18:45:06
92.8139,-2.06,2026-06-11 18:45:06
92.8141,4.48,2026-06-11 18:45:06
92.8142,3.77,2026-06-11 18:45:06
92.8144,4.48,2026-06-11 18:45:06
92.8145,-4.71,2026-06-11 18:45:06
92.8147,-15.07,2026-06-11 18:45:06
92.8149,-5.61,2026-06-11 18:45:06
92.815,-0.16,2026-06-11 18:45:06
92.8152,-7.36,2026-06-11 18:45:06
92.8153,-8.61,2026-06-11 18:45:06
92.8155,3.24,2026-06-11 18:45:06
92.8156,2.4,2026-06-11 18:45:06
92.8158,3.84,2026-06-11 18:45:06
92.8159,-4.05,2026-06-11 18:45:06
92.8161,-0.0,2026-06-11 18:45:06
92.8162,1.3,2026-06-11 18:45:06
92.8164,-0.08,2026-06-11 18:45:06
92.8165,-5.95,2026-06-11 18:45:06
92.8167,1.76,2026-06-11 18:45:06
92.8168,-4.47,2026-06-11 18:45:06
92.817,-0.92,2026-06-11 18:45:06
92.8171,-0.95,2026-06-11 18:45:06
92.8173,-1.05,2026-06-11 18:45:06
92.8174,-3.26,2026-06-11 18:45:06
92.8176,-4.18,2026-06-11 18:45:06
92.8178,1.63,2026-06-11 18:45:06
92.8179,-3.33,2026-06-11 18:45:06
